QUERY_ID = 0, DOC_ID = Biological_Systems_Engineering.f, RELEVANCE_SCORE = 0
QUERY_ID = 1, DOC_ID = Candidate_Statements.f, RELEVANCE_SCORE = 0
QUERY_ID = 2, DOC_ID = Computer_Science.f, RELEVANCE_SCORE = 1
QUERY_ID = 3, DOC_ID = document_translated.f, RELEVANCE_SCORE = 0
QUERY_ID = 4, DOC_ID = ECE_Course_Reviews.f, RELEVANCE_SCORE = 1
QUERY_ID = 5, DOC_ID = Economics.f, RELEVANCE_SCORE = 2
QUERY_ID = 6, DOC_ID = Elaine_Kasimatis.f, RELEVANCE_SCORE = 2
QUERY_ID = 7, DOC_ID = Evelyn_Silvia.f, RELEVANCE_SCORE = 2
QUERY_ID = 8, DOC_ID = Events_Calendars.f, RELEVANCE_SCORE = 0
QUERY_ID = 9, DOC_ID = Fiber_and_Polymer_Science.f, RELEVANCE_SCORE = 0
QUERY_ID = 10, DOC_ID = Hydrology.f, RELEVANCE_SCORE = 0
QUERY_ID = 11, DOC_ID = Mathematics.f, RELEVANCE_SCORE = 3
QUERY_ID = 12, DOC_ID = MattHh.f, RELEVANCE_SCORE = 0
QUERY_ID = 13, DOC_ID = Private_Tutoring.f, RELEVANCE_SCORE = 2
QUERY_ID = 14, DOC_ID = Quantitative_Biology_and_Bioinformatics.f, RELEVANCE_SCORE = 0
QUERY_ID = 15, DOC_ID = Statistics.f, RELEVANCE_SCORE = 2
QUERY_ID = 16, DOC_ID = Student_Organizations.f, RELEVANCE_SCORE = 0 
QUERY_ID = 17, DOC_ID = UCD_Honors_and_Prizes.f, RELEVANCE_SCORE = 0
QUERY_ID = 18, DOC_ID = UC_Davis_English_Department.f, RELEVANCE_SCORE = 0
QUERY_ID = 19, DOC_ID = University_Departments.f, RELEVANCE_SCORE = 0
QUERY_ID = 20, DOC_ID = What_I_Wish_I_Knew...Before_Coming_to_UC_Davis_Entomology.f, RELEVANCE_SCORE = 1
QUERY_ID = 21, DOC_ID = Wildlife%2C_Fish%2C_and_Conservation_Biology.f, RELEVANCE_SCORE = 0
