QUERY_ID = 0, DOC_ID = Math.f, RELEVANCE_SCORE = 1
QUERY_ID = 1, DOC_ID = TravisTaylor.f, RELEVANCE_SCORE = 1
QUERY_ID = 2, DOC_ID = Davis_Graduate.f, RELEVANCE_SCORE = 1
QUERY_ID = 3, DOC_ID = Grad_Students.f, RELEVANCE_SCORE = 1
QUERY_ID = 4, DOC_ID = The_Grad.f, RELEVANCE_SCORE = 1
QUERY_ID = 5, DOC_ID = EfremRensi.f, RELEVANCE_SCORE = 1
QUERY_ID = 6, DOC_ID = GRE.f, RELEVANCE_SCORE = 0
QUERY_ID = 7, DOC_ID = JulieB.f, RELEVANCE_SCORE = 0
QUERY_ID = 8, DOC_ID = EOP.f, RELEVANCE_SCORE = 0
QUERY_ID = 9, DOC_ID = Mentorships_for_Undergraduate_Research_in_Agriculture%2C_Letters%2C_and_Science.f, RELEVANCE_SCORE = 0
QUERY_ID = 10, DOC_ID = Wilfred.f, RELEVANCE_SCORE = 0
QUERY_ID = 11, DOC_ID = Planned_Education_Leave_Program.f, RELEVANCE_SCORE = 0
QUERY_ID = 12, DOC_ID = Agricultural_Chemistry.f, RELEVANCE_SCORE = 0
QUERY_ID = 13, DOC_ID = JillNi.f, RELEVANCE_SCORE = 1
QUERY_ID = 14, DOC_ID = DavidGeisler.f, RELEVANCE_SCORE = 1
QUERY_ID = 15, DOC_ID = APILP.f, RELEVANCE_SCORE = 0
QUERY_ID = 16, DOC_ID = Bridge.f, RELEVANCE_SCORE = 0
QUERY_ID = 17, DOC_ID = ESLP.f, RELEVANCE_SCORE = 0
QUERY_ID = 18, DOC_ID = UCDC.f, RELEVANCE_SCORE = 1
QUERY_ID = 19, DOC_ID = Pharmacology_and_Toxicology.f, RELEVANCE_SCORE = 0
QUERY_ID = 20, DOC_ID = Bridge_Outreach_and_Retention_Program.f, RELEVANCE_SCORE = 0
QUERY_ID = 21, DOC_ID = Elaine_Kasimatis.f, RELEVANCE_SCORE = 2
QUERY_ID = 22, DOC_ID = Elliott.f, RELEVANCE_SCORE = 0
QUERY_ID = 23, DOC_ID = Santani.f, RELEVANCE_SCORE = 0
QUERY_ID = 24, DOC_ID = JoshBurkart.f, RELEVANCE_SCORE = 1
QUERY_ID = 25, DOC_ID = Free_Munchies_at_Bars.f, RELEVANCE_SCORE = 0
QUERY_ID = 26, DOC_ID = SamSampson.f, RELEVANCE_SCORE = 1
QUERY_ID = 27, DOC_ID = UC_Davis_Wrestling.f, RELEVANCE_SCORE = 0
QUERY_ID = 28, DOC_ID = GradLink.f, RELEVANCE_SCORE = 0
QUERY_ID = 29, DOC_ID = Evelyn_Silvia.f, RELEVANCE_SCORE = 2
QUERY_ID = 30, DOC_ID = 1927.f, RELEVANCE_SCORE = 1
QUERY_ID = 31, DOC_ID = DanielHoang.f, RELEVANCE_SCORE = 0
QUERY_ID = 32, DOC_ID = Graduate_Academic_Achievement_and_Advocacy_Program.f, RELEVANCE_SCORE = 0
QUERY_ID = 33, DOC_ID = Society_for_Industrial_and_Applied_Mathematics.f, RELEVANCE_SCORE = 2
QUERY_ID = 34, DOC_ID = East_Asian_Languages_and_Cultures.f, RELEVANCE_SCORE = 0
QUERY_ID = 35, DOC_ID = 30-40_Something_Grad_Students.f, RELEVANCE_SCORE = 0
QUERY_ID = 36, DOC_ID = Yeni.f , RELEVANCE_SCORE = 0
QUERY_ID = 37, DOC_ID = ErikStaab.f, RELEVANCE_SCORE = 0
QUERY_ID = 38, DOC_ID = JamesShearer.f, RELEVANCE_SCORE = 0
QUERY_ID = 39, DOC_ID = MichaelTehranian.f, RELEVANCE_SCORE = 1
QUERY_ID = 40, DOC_ID = UC_Davis_Women%27s_Gymnastics.f, RELEVANCE_SCORE = 0
QUERY_ID = 41, DOC_ID = Western_Institute_for_Food_Safety_and_Security.f, RELEVANCE_SCORE = 0
QUERY_ID = 42, DOC_ID = SIAM.f, RELEVANCE_SCORE = 1
QUERY_ID = 43, DOC_ID = Meals_on_Wheels.f, RELEVANCE_SCORE = 0
QUERY_ID = 44, DOC_ID = Mathematics_ArXiv_front.f, RELEVANCE_SCORE = 3
QUERY_ID = 45, DOC_ID = Kraig%21Kraft%21.f, RELEVANCE_SCORE = 0
QUERY_ID = 46, DOC_ID = MotokiWu.f, RELEVANCE_SCORE = 2
QUERY_ID = 47, DOC_ID = McNair_Scholars_Program.f, RELEVANCE_SCORE = 0
QUERY_ID = 48, DOC_ID = Agricultural_%26_Environmental_Chemistry_Graduate_Group.f, RELEVANCE_SCORE = 0
QUERY_ID = 49, DOC_ID = ThucNghiNguyen.f, RELEVANCE_SCORE = 0
